epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
17,0.9951934814453125,0.2322143018245697,0.05160147324204445,1e-04,0.9809675216674805,0.8626763224601746,0.9853352904319763,0.012611720710992813,0.10630526393651962,0.0,0.0
18,0.9952048063278198,0.23678472638130188,0.05030430480837822,1e-04,0.979911208152771,0.8645390868186951,0.9857543706893921,0.020622150972485542,0.09924672544002533,1.0,0.030244173482060432
19,0.9951836466789246,0.2413775622844696,0.04918345436453819,1e-04,0.9780898094177246,0.8682372570037842,0.985522449016571,0.01516486145555973,0.09665784984827042,1.0,0.01359600480645895
20,0.9953721761703491,0.24835552275180817,0.047390662133693695,1e-04,0.9842621684074402,0.8737432956695557,0.9858723878860474,0.021001186221837997,0.09137376397848129,1.0,0.0388457253575325
21,0.9952894449234009,0.25223734974861145,0.0463734045624733,1e-04,0.9820237159729004,0.8709492087364197,0.9857869744300842,0.018328513950109482,0.09034555405378342,1.0,0.03218645974993706
22,0.995398223400116,0.2573522627353668,0.04511628672480583,1e-04,0.9848390817642212,0.8701547980308533,0.9872518181800842,0.041962429881095886,0.08223311603069305,1.0,0.1362375169992447
23,0.9954115152359009,0.2627262771129608,0.04405473172664642,1e-04,0.9845882654190063,0.871524453163147,0.9878336787223816,0.054178379476070404,0.0785815566778183,0.9740259647369385,0.18729190528392792
24,0.9954823851585388,0.2672630250453949,0.04292987659573555,1e-04,0.9876279234886169,0.8725106120109558,0.9881591796875,0.06213086098432541,0.07505694776773453,0.9685929417610168,0.2139289677143097
25,0.9955518245697021,0.2727913558483124,0.04171399399638176,1e-04,0.9884622693061829,0.880071222782135,0.9884358644485474,0.06811366975307465,0.07203730195760727,0.9963008761405945,0.22419533133506775
26,0.9955572485923767,0.2781444191932678,0.040720295161008835,1e-04,0.9876963496208191,0.8818244338035583,0.9897501468658447,0.09303809702396393,0.06489000469446182,0.9956822395324707,0.3199222981929779
27,0.9955729842185974,0.28313401341438293,0.039797913283109665,1e-04,0.9900474548339844,0.8801807761192322,0.9908854365348816,0.1136973649263382,0.05931324139237404,0.9972164034843445,0.3976137638092041
28,0.995568037033081,0.28679293394088745,0.0390242375433445,1e-04,0.9897506833076477,0.8808930516242981,0.9924641847610474,0.14326220750808716,0.05378410965204239,0.9967461824417114,0.5099889039993286
29,0.9955276846885681,0.28954511880874634,0.03843002766370773,1e-04,0.9883216023445129,0.878619372844696,0.9940145015716553,0.1737155318260193,0.04924005642533302,0.9914015531539917,0.6398445963859558
30,0.9955257177352905,0.29348838329315186,0.03772059455513954,1e-04,0.9878957867622375,0.878646731376648,0.9939290285110474,0.18103304505348206,0.04842853173613548,0.9726688265800476,0.6714761257171631
31,0.9955439567565918,0.29874610900878906,0.03702476993203163,1e-04,0.9884259700775146,0.8819613456726074,0.9943807125091553,0.19260965287685394,0.04665270820260048,0.9783352613449097,0.7142064571380615
32,0.9955764412879944,0.3025703430175781,0.036259725689888,1e-04,0.9896419048309326,0.8820161819458008,0.9944539666175842,0.1954365372657776,0.04459361732006073,0.9934985637664795,0.6784128546714783
33,0.9956153035163879,0.3081967532634735,0.03539933264255524,1e-04,0.9881923198699951,0.8895219564437866,0.994616687297821,0.2047075778245926,0.04237336665391922,0.9963265061378479,0.6773030161857605
